system_id,system_name,t2_us,t1_us,temperature_k,noise_level,target_phenomenology,winner_strategy,robustness_gain_percent,p3_robustness,p4_robustness,geometric_phase_rad,p3_variance_r,p4_variance_r
GRAB-DA2h,GRAB-DA2h,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
GRAB-DA2h,GRAB-DA2h,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
GRAB-DA2m,GRAB-DA2m,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
GRAB-DA2m,GRAB-DA2m,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
GRAB-NE1m,GRAB-NE1m,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
GRAB-NE1m,GRAB-NE1m,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
HyPer,HyPer,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
HyPer,HyPer,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
HyPer7,HyPer7,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
HyPer7,HyPer7,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
HyPer3,HyPer3,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
HyPer3,HyPer3,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
NIR-GECO2,NIR-GECO2,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
NIR-GECO2,NIR-GECO2,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
Perceval,Perceval,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
Perceval,Perceval,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
PercevalHR,PercevalHR,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
PercevalHR,PercevalHR,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
Pink_Flamindo,Pink Flamindo,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
Pink_Flamindo,Pink Flamindo,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
QuasAr2,QuasAr2,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
QuasAr2,QuasAr2,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
R-GECO1,R-GECO1,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
R-GECO1,R-GECO1,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
RCaMP1h,RCaMP1h,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
RCaMP1h,RCaMP1h,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
RCaMP2,RCaMP2,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
RCaMP2,RCaMP2,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
SF-iGluSnFR,SF-iGluSnFR,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
SF-iGluSnFR,SF-iGluSnFR,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
SF-iGluSnFR.A184S,SF-iGluSnFR.A184S,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
SF-iGluSnFR.A184S,SF-iGluSnFR.A184S,10.0,5000.0,298.0,0.13636363636363635,fragmented,P4,100.0,1.505293e-06,0.0,0.05771329945180232,2.6869244e-05,2.4862113e-05
SypHer3s,SypHer3s,10.0,5000.0,298.0,0.13636363636363635,uniform,P4,67.82929,1.5697342e-05,5.049946e-06,0.05771329945180232,2.6869244e-05,2.4862113e-05
